Unnamed: 0,Unnamed: 0.1,Age,Athlete,Athlete_URL,Gender,Height,Reg_Place,Reg_Score,Region,Weight,Wk1,Wk2,Wk3,Wk4,Wk5,Year,Team,Affiliate,Fran,Helen,Grace,Filthy_50,Fight_Gone_Bad,Sprint_400,Run_5k,Clean_And_Jerk,Snatch,Deadlift,Back_Squat,Max_Pullups,Reg_Finish,Wk1_Place,Wk1_Score,Wk2_Place,Wk2_Score,Wk3_Place,Wk3_Score,Wk4_Place,Wk4_Score,Wk5_Place,Wk5_Score
330,30,24.0,Simon Buteau,http://games.crossfit.com/athlete/194837,1,68.0,31,252,4,182.0,44 (280),53 (343),62 (116),84 (242),9 (08:42),16,Inyaface,CrossFit 819,153.0,,,,0,,1170.0,335.0,250.0,475.0,415.0,0,31 (252),44,280,53,343,62,116,84,242,9,522
331,31,21.0,Jérémie Mongeon-Duby,http://games.crossfit.com/athlete/298428,1,69.0,32,257,4,190.0,21 (295),88 (341),97 (114),39 (252),12 (08:50),16,Reebok CrossFit YUL,Reebok CrossFit YUL,,,,,,,,315.0,235.0,465.0,415.0,,32 (257),21,295,88,341,97,114,39,252,12,530
332,32,22.0,Nycolas Joyal,http://games.crossfit.com/athlete/489030,1,,33,269,4,190.0,30 (289),14 (424),122 (112),37 (253),66 (10:02),16,Lusine Terrebonne,CrossFit Terrebonne L'usine,,,,,,,,,,,,,33 (269),30,289,14,424,122,112,37,253,66,602
333,33,18.0,Jeremy Vigneault,http://games.crossfit.com/athlete/410262,1,73.0,34,280,4,200.0,44 (280),32 (345),71 (115),41 (251),92 (10:19),16,CrossFit Quebec City,CrossFit Quebec City,,,,,,62.0,,305.0,235.0,535.0,405.0,50,34 (280),44,280,32,345,71,115,41,251,92,619
334,34,20.0,David Cyr-maranda,http://games.crossfit.com/athlete/457547,1,69.0,35,282,4,175.0,49 (278),83 (341),44 (118),57 (249),49 (09:53),16,CrossFit Lévis,CrossFit Levis,139.0,,,1195.0,418,,1152.0,256.0,211.0,525.0,355.0,70,35 (282),49,278,83,341,44,118,57,249,49,593
335,35,22.0,Jason Houde,http://games.crossfit.com/athlete/598633,1,,36,288,4,210.0,124 (260),31 (345),29 (124),16 (265),88 (10:16),16,CrossFit Quebec City,CrossFit Quebec City,,,,,,,,,,,,,36 (288),124,260,31,345,29,124,16,265,88,616
336,36,25.0,Benjamin Hebert,http://games.crossfit.com/athlete/84384,1,68.9,37,301,4,175.0,61 (275),29 (345),51 (117),90 (240),70 (10:06),16,CrossFit Quebec City,CrossFit Quebec City,133.0,,,,,,,315.0,255.0,500.0,465.0,,37 (301),61,275,29,345,51,117,90,240,70,606
337,37,23.0,alexis dufour,http://games.crossfit.com/athlete/49818,1,70.87,38,324,4,195.0,98 (267),36 (344),124 (112),25 (260),41 (09:42),16,CrossFit Laval - Force 5,CrossFit Laval,137.0,,,,,,,300.0,260.0,565.0,440.0,51,38 (324),98,267,36,344,124,112,25,260,41,582
338,38,27.0,Olivier Gravel,http://games.crossfit.com/athlete/130397,1,72.0,39,331,4,196.0,58 (276),53 (343),38 (120),94 (239),88 (10:16),16,Hustle Tonic,Tonic CrossFit,137.0,,,,,,,325.0,255.0,495.0,415.0,61,39 (331),58,276,53,343,38,120,94,239,88,616
339,39,28.0,Jonathan Gibbons,http://games.crossfit.com/athlete/259607,1,69.0,40,338,4,200.0,92 (268),30 (345),157 (108),36 (254),23 (09:16),16,CrossFit Resurrection,CrossFit Resurrection,,,,,,,,320.0,255.0,490.0,475.0,,40 (338),92,268,30,345,157,108,36,254,23,556
340,40,20.0,Samuel Cournoyer,http://games.crossfit.com/athlete/327636,1,70.87,41,355,4,190.0,28 (290),21 (346),135 (111),66 (246),105 (10:27),16,TEAM CrossFit ADM,CrossFit Adm,,,,,,,,325.0,270.0,485.0,,,41 (355),28,290,21,346,135,111,66,246,105,627
341,41,27.0,Stephen Mackenzie,http://games.crossfit.com/athlete/110392,1,,42,368,4,200.0,65 (273),116 (340),58 (116),59 (248),70 (10:06),16,,CrossFit Jono,154.0,,,,,,,315.0,275.0,517.0,500.0,,42 (368),65,273,116,340,58,116,59,248,70,606
342,42,29.0,Adam de Jong,http://games.crossfit.com/athlete/258970,1,70.0,43,370,4,190.0,32 (288),107 (340),97 (114),9 (268),125 (10:38),16,,,195.0,,145.0,,,,,255.0,205.0,555.0,405.0,40,43 (370),32,288,107,340,97,114,9,268,125,638
343,43,22.0,Jordan Medeiros,http://games.crossfit.com/athlete/28911,1,68.0,44,377,4,188.0,124 (260),59 (343),65 (116),88 (240),41 (09:42),16,CrossFit Cambridge,CrossFit Cambridge,,,,,,,,,,,,,44 (377),124,260,59,343,65,116,88,240,41,582
344,44,27.0,Yves-Éric Pilote,http://games.crossfit.com/athlete/129892,1,71.0,45,378,4,190.0,16 (298),63 (342),155 (108),116 (234),28 (09:30),16,CrossFit JONQ,CrossFit Jonq,166.0,,,,,,,275.0,,,,,45 (378),16,298,63,342,155,108,116,234,28,570
345,45,25.0,Steven Cristini,http://games.crossfit.com/athlete/115916,1,72.0,46,380,4,205.0,87 (269),26 (346),109 (114),24 (261),134 (10:42),16,JaktRX RED,Reebok CrossFit East Woodbridge,169.0,,108.0,,,,,340.0,285.0,525.0,440.0,,46 (380),87,269,26,346,109,114,24,261,134,642
346,46,27.0,Jonathan Houle,http://games.crossfit.com/athlete/243919,1,70.0,47,388,4,190.0,81 (270),19 (347),40 (120),146 (224),102 (10:26),16,Pro1 Montreal,CrossFit Pro1,,,,,,,,,,,,,47 (388),81,270,19,347,40,120,146,224,102,626
347,47,26.0,Justin Parro,http://games.crossfit.com/athlete/73949,1,67.0,48,390,4,165.0,65 (273),132 (339),51 (117),61 (247),81 (10:13),16,CFSTC,CrossFit St. Catharines,,,,,,,,275.0,200.0,460.0,365.0,,48 (390),65,273,132,339,51,117,61,247,81,613
348,48,25.0,Taylor Stewart,http://games.crossfit.com/athlete/246583,1,70.0,49,398,4,185.0,92 (268),85 (341),78 (115),79 (244),64 (10:01),16,CrossFit Bytown,CrossFit Bytown,150.0,470.0,107.0,,,,,315.0,240.0,500.0,405.0,,49 (398),92,268,85,341,78,115,79,244,64,601
349,49,36.0,Zachary Hebert,http://games.crossfit.com/athlete/3981,1,68.0,50,400,4,186.0,124 (260),60 (343),31 (122),60 (248),125 (10:38),16,Crossfit Ultimatum,CrossFit Ultimatum,127.0,,84.0,920.0,415,56.0,1210.0,345.0,280.0,515.0,425.0,0,50 (400),124,260,60,343,31,122,60,248,125,638
350,50,26.0,Ryan Starkey,http://games.crossfit.com/athlete/304006,1,70.0,51,409,4,212.0,194 (247),33 (345),91 (114),15 (266),76 (10:11),16,Crossfit Bowmanville,CrossFit Bowmanville,145.0,,105.0,,,61.0,,355.0,285.0,530.0,505.0,60,51 (409),194,247,33,345,91,114,15,266,76,611
351,51,24.0,David Gibeault,http://games.crossfit.com/athlete/237460,1,67.0,51,409,4,165.0,65 (273),126 (339),87 (114),113 (235),18 (09:08),16,TEAM CrossFit ADM,CrossFit Adm,,,,,,,,,0.0,,0.0,0,51 (409),65,273,126,339,87,114,113,235,18,548
352,52,29.0,Mike LeBlanc,http://games.crossfit.com/athlete/6588,1,69.0,53,413,4,194.0,62 (274),167 (339),51 (117),28 (258),105 (10:27),16,CrossFit YQM,CrossFit YQM,,,,,0,,,0.0,0.0,0.0,0.0,0,53 (413),62,274,167,339,51,117,28,258,105,627
353,53,28.0,Kyle McDermid,http://games.crossfit.com/athlete/31275,1,68.0,54,416,4,170.0,30 (289),131 (339),33 (121),120 (232),102 (10:26),16,,Unaffiliated,219.0,516.0,,,,,1259.0,290.0,231.0,440.0,400.0,51,54 (416),30,289,131,339,33,121,120,232,102,626
354,54,24.0,Cedrik Bernier,http://games.crossfit.com/athlete/93616,1,75.0,55,419,4,220.0,19 (296),57 (343),47 (117),150 (223),146 (10:48),16,Pro1 Montreal X,CrossFit Pro1,212.0,486.0,61.0,,,,4821.0,280.0,235.0,445.0,355.0,2,55 (419),19,296,57,343,47,117,150,223,146,648
355,55,28.0,Justin Tamane,http://games.crossfit.com/athlete/75359,1,67.0,56,425,4,175.0,65 (273),25 (346),67 (116),143 (225),125 (10:38),16,CrossFit Solid Ground,CrossFit Solid Ground,127.0,482.0,131.0,,364,,,315.0,265.0,465.0,435.0,,56 (425),65,273,25,346,67,116,143,225,125,638
356,56,24.0,Storm Patterson,http://games.crossfit.com/athlete/307259,1,73.0,57,428,4,190.0,58 (276),116 (340),20 (127),49 (250),185 (11:06),16,CrossFit Queen Street,CrossFit Queen Street,,,,1010.0,,49.0,1163.0,320.0,265.0,500.0,440.0,60,57 (428),58,276,116,340,20,127,49,250,185,666
357,57,29.0,Ryan Poroznik,http://games.crossfit.com/athlete/99504,1,70.0,57,428,4,185.0,58 (276),27 (345),184 (106),87 (241),72 (10:07),16,Tidal Crossfit North,Tidal CrossFit North,200.0,,114.0,,,,,325.0,245.0,475.0,435.0,,57 (428),58,276,27,345,184,106,87,241,72,607
358,58,29.0,Jonathan Laniel,http://games.crossfit.com/athlete/17741,1,74.0,59,429,4,217.0,108 (265),120 (340),76 (115),80 (243),45 (09:46),16,CrossFit Laval - aigles,CrossFit Laval,159.0,528.0,117.0,1107.0,0,65.0,1307.0,325.0,230.0,505.0,425.0,47,59 (429),108,265,120,340,76,115,80,243,45,586
359,59,26.0,Maxim Bouchard,http://games.crossfit.com/athlete/129680,1,68.0,60,434,4,190.0,92 (268),110 (340),97 (114),107 (235),28 (09:30),16,CrossFit 2342,CrossFit 2342,,,,,,,,,,,,,60 (434),92,268,110,340,97,114,107,235,28,570
360,60,30.0,Adrian Lui,http://games.crossfit.com/athlete/12351,1,66.0,61,438,4,170.0,124 (260),66 (342),113 (113),85 (242),50 (09:54),16,Team Tidal Burlington,Tidal CrossFit Burlington,139.0,423.0,123.0,,0,,1260.0,308.65,231.49,470.0,429.9,50,61 (438),124,260,66,342,113,113,85,242,50,594
361,61,25.0,Martin Roy,http://games.crossfit.com/athlete/22480,1,70.0,62,445,4,198.0,124 (260),158 (339),30 (122),98 (239),35 (09:36),16,ShopCrossfit,Shop CrossFit,133.0,,97.0,995.0,0,,1440.0,305.0,240.0,450.0,365.0,50,62 (445),124,260,158,339,30,122,98,239,35,576
362,62,29.0,Renaud Belisle,http://games.crossfit.com/athlete/108253,1,69.0,63,451,4,220.0,104 (266),65 (342),129 (112),42 (251),111 (10:30),16,Option Crossfit,Option CrossFit,135.0,,,,,,,325.0,255.0,530.0,425.0,51,63 (451),104,266,65,342,129,112,42,251,111,630
363,63,23.0,Chad Langan,http://games.crossfit.com/athlete/60169,1,62.0,64,455,4,135.0,25 (292),38 (344),47 (117),270 (209),75 (10:09),16,Maple City CrossFit,Maple City CrossFit,132.0,507.0,194.0,1345.0,334,60.0,1472.0,307.0,235.0,450.0,441.0,80,64 (455),25,292,38,344,47,117,270,209,75,609
364,64,28.0,Maxime Beland,http://games.crossfit.com/athlete/85670,1,68.9,65,458,4,188.0,49 (278),64 (342),28 (125),158 (220),159 (10:53),16,STADD CrossFit,STADD CrossFit,,,,,0,,,0.0,0.0,0.0,0.0,0,65 (458),49,278,64,342,28,125,158,220,159,653
365,65,20.0,Brett Dykstra,http://games.crossfit.com/athlete/700628,1,72.0,66,459,4,195.0,160 (252),102 (340),47 (117),20 (264),130 (10:40),16,CrossFit Select,CrossFit Select,,,,,,,,285.0,245.0,500.0,365.0,,66 (459),160,252,102,340,47,117,20,264,130,640
366,66,23.0,Tim Kousoulas,http://games.crossfit.com/athlete/252529,1,71.0,67,461,4,180.0,121 (261),95 (340),41 (119),93 (240),111 (10:30),16,Tidal CrossFit York Mills,Tidal CrossFit York Mills,134.0,447.0,112.0,,,,,295.0,215.0,,,,67 (461),121,261,95,340,41,119,93,240,111,630
367,67,29.0,Jonathan Caron,http://games.crossfit.com/athlete/101186,1,72.0,68,464,4,195.0,54 (277),68 (342),36 (121),134 (229),172 (11:01),16,CrossFit MeCK,CrossFit MeCK,151.0,,145.0,1279.0,420,,,325.0,255.0,525.0,445.0,60,68 (464),54,277,68,342,36,121,134,229,172,661
368,68,22.0,Tom Niro,http://games.crossfit.com/athlete/266387,1,,69,474,4,175.0,28 (290),80 (341),133 (111),187 (216),46 (09:48),16,ShopCrossfit,Shop CrossFit,,,,,,,1267.0,280.0,205.0,415.0,355.0,,69 (474),28,290,80,341,133,111,187,216,46,588
369,69,25.0,Mike Baumung,http://games.crossfit.com/athlete/546080,1,72.0,70,478,4,208.0,124 (260),58 (343),82 (115),34 (254),180 (11:05),16,CrossFit Cambridge,CrossFit Cambridge,,,,,,,,,,,,,70 (478),124,260,58,343,82,115,34,254,180,665
370,70,25.0,Patrick Colomb,http://games.crossfit.com/athlete/573495,1,68.9,71,483,4,170.0,194 (247),81 (341),81 (115),95 (239),32 (09:35),16,Team Dioxide,CrossFit Dioxide,138.0,,112.0,,,62.0,,275.0,195.0,435.0,435.0,60,71 (483),194,247,81,341,81,115,95,239,32,575
371,71,30.0,Greg Lanctot,http://games.crossfit.com/athlete/102457,1,67.0,72,484,4,189.0,156 (254),155 (339),80 (115),63 (247),30 (09:33),16,Deka CF Team,Deka CrossFit,171.0,493.0,97.0,1072.0,382,,,290.0,255.0,455.0,425.0,,72 (484),156,254,155,339,80,115,63,247,30,573
372,72,33.0,Matthieu Dubreucq,http://games.crossfit.com/athlete/18342,1,68.9,72,484,4,180.0,183 (249),94 (340),36 (121),55 (249),116 (10:31),16,CrossFit Laval - aigles,CrossFit Laval,146.0,451.0,164.0,900.0,0,,1190.0,275.0,225.0,515.0,405.0,75,72 (484),183,249,94,340,36,121,55,249,116,631
373,73,20.0,Graeme Fraser,http://games.crossfit.com/athlete/225323,1,70.0,74,496,4,187.0,48 (279),91 (341),222 (104),52 (250),83 (10:14),16,CrossFit Closer,CrossFit Closer,250.0,,69.0,,404,,,325.0,225.0,505.0,435.0,30,74 (496),48,279,91,341,222,104,52,250,83,614
374,74,31.0,Michel Lessard,http://games.crossfit.com/athlete/55225,1,70.0,75,497,4,,25 (292),141 (339),70 (115),73 (245),188 (11:07),16,,1535 CrossFit,137.0,460.0,121.0,1192.0,400,,,275.0,210.0,585.0,385.0,51,75 (497),25,292,141,339,70,115,73,245,188,667
375,75,29.0,Laurin Marc-Éric,http://games.crossfit.com/athlete/248479,1,,76,501,4,217.0,114 (264),40 (344),134 (111),137 (228),76 (10:11),16,CrossFit Laval - aigles,CrossFit Laval,,,,,,,,,,,,,76 (501),114,264,40,344,134,111,137,228,76,611
376,76,33.0,Timothy Hemmerick,http://games.crossfit.com/athlete/121026,1,,77,503,4,181.0,151 (257),34 (345),171 (107),71 (246),76 (10:11),16,Physics CrossFit,Physics CrossFit,,,,,,,,,,,,,77 (503),151,257,34,345,171,107,71,246,76,611
377,77,26.0,Kevin Mckay,http://games.crossfit.com/athlete/318999,1,69.0,78,506,4,175.0,44 (280),108 (340),222 (104),82 (242),50 (09:54),16,CrossFit Cordis,CrossFit Cordis,,,,,,,,,,,,,78 (506),44,280,108,340,222,104,82,242,50,594
378,78,40.0,Stephen McDonald,http://games.crossfit.com/athlete/2252,1,70.0,79,507,4,185.0,108 (265),136 (339),51 (117),127 (230),85 (10:15),16,CrossFit Kinetics,CrossFit Kinetics,147.0,455.0,132.0,1120.0,409,58.0,1170.0,265.0,205.0,495.0,365.0,60,79 (507),108,265,136,339,51,117,127,230,85,615
379,79,34.0,Michael Laverriere,http://games.crossfit.com/athlete/255163,1,,80,512,4,177.0,160 (252),62 (342),20 (127),8 (271),262 (11:34),16,,CrossFit RDL,,,,,,,1095.0,315.0,245.0,640.0,475.0,,80 (512),160,252,62,342,20,127,8,271,262,694
380,80,25.0,Damien Bourassa d'Estimauville,http://games.crossfit.com/athlete/509592,1,72.0,81,526,4,215.0,154 (255),119 (340),97 (114),22 (262),134 (10:42),16,Tonic Crossfit,Tonic CrossFit,,,,,,,,335.0,260.0,615.0,505.0,,81 (526),154,255,119,340,97,114,22,262,134,642
381,81,23.0,Jonathan Dube,http://games.crossfit.com/athlete/269207,1,,82,527,4,185.0,38 (286),50 (343),138 (111),263 (209),38 (09:39),16,,CrossFit Stricken,147.0,,,,,,,,215.0,445.0,405.0,,82 (527),38,286,50,343,138,111,263,209,38,579
382,82,22.0,Adam Shibuya,http://games.crossfit.com/athlete/88130,1,73.0,83,539,4,200.0,92 (268),104 (340),116 (113),86 (241),141 (10:44),16,CrossFit Metric,CrossFit Metric,156.0,560.0,111.0,1235.0,,60.0,1303.0,320.0,265.0,500.0,420.0,,83 (539),92,268,104,340,116,113,86,241,141,644
383,83,22.0,Francois-Laurent Beaudry,http://games.crossfit.com/athlete/263819,1,70.08,84,543,4,182.0,65 (273),152 (339),59 (116),101 (237),166 (10:58),16,Lusine CrossFit Sherbrooke,L'Usine CrossFit Sherbrooke,,,,,,,,295.0,225.0,455.0,405.0,,84 (543),65,273,152,339,59,116,101,237,166,658
384,84,30.0,Michael Spineti,http://games.crossfit.com/athlete/164814,1,67.32,85,554,4,178.0,227 (246),52 (343),87 (114),68 (246),120 (10:35),16,CrossFit de l'Est,CrossFit de l'est,,,99.0,,,,1193.0,285.0,220.0,450.0,405.0,,85 (554),227,246,52,343,87,114,68,246,120,635
385,85,28.0,Guillaume Vallières,http://games.crossfit.com/athlete/353850,1,73.0,86,569,4,205.0,42 (285),106 (340),107 (114),177 (217),137 (10:43),16,Academik CF Team,Academik CrossFit,,,,,,,,,,,,,86 (569),42,285,106,340,107,114,177,217,137,643
386,86,27.0,Julien Albert,http://games.crossfit.com/athlete/776151,1,69.0,87,572,4,180.0,291 (239),101 (340),64 (116),58 (249),58 (09:59),16,Team St-Jérôme,CrossFit Saint Jerome,,,,,,,,285.0,230.0,475.0,375.0,,87 (572),291,239,101,340,64,116,58,249,58,599
387,87,38.0,Aaron Coutts,http://games.crossfit.com/athlete/589304,1,69.69,88,586,4,175.0,43 (284),250 (261),124 (112),70 (246),99 (10:23),16,,,,,,,,,,,,,,,88 (586),43,284,250,261,124,112,70,246,99,623
388,88,24.0,Angelo-Nicola Saran,http://games.crossfit.com/athlete/275981,1,71.0,89,588,4,182.0,183 (249),73 (342),110 (114),72 (246),150 (10:50),16,ShopCrossfit,Shop CrossFit,,,,,,,,310.0,230.0,475.0,,,89 (588),183,249,73,342,110,114,72,246,150,650
389,89,20.0,Maxim Emond,http://games.crossfit.com/athlete/317225,1,,90,589,4,,16 (298),44 (344),115 (113),264 (209),150 (10:50),16,STADD CrossFit,STADD CrossFit,,,,,,,,,,,,,90 (589),16,298,44,344,115,113,264,209,150,650
390,90,24.0,Matt Breen,http://games.crossfit.com/athlete/287206,1,71.0,91,593,4,175.0,81 (270),139 (339),162 (108),111 (235),100 (10:24),16,CrossFit Islander,CrossFit Islander,,,,,,,,,,,,,91 (593),81,270,139,339,162,108,111,235,100,624
391,91,26.0,Stephane Cossette,http://games.crossfit.com/athlete/357704,1,70.87,92,602,4,209.0,87 (269),56 (343),97 (114),186 (216),176 (11:03),16,,,183.0,,139.0,,,,,245.0,,565.0,500.0,,92 (602),87,269,56,343,97,114,186,216,176,663
392,92,33.0,Sebastien Morissette,http://games.crossfit.com/athlete/109260,1,71.0,93,607,4,199.0,65 (273),87 (341),117 (113),109 (235),229 (11:21),16,STADD CrossFit,STADD CrossFit,,,,,,,,,,,,,93 (607),65,273,87,341,117,113,109,235,229,681
393,93,31.0,Guillaume Lalande,http://games.crossfit.com/athlete/542234,1,70.0,94,609,4,208.0,194 (247),123 (339),62 (116),119 (232),111 (10:30),16,Option Crossfit,Option CrossFit,682.0,2303.0,540.0,4065.0,,,3360.0,75.0,45.0,125.0,115.0,,94 (609),194,247,123,339,62,116,119,232,111,630
394,94,31.0,Pierre-Luc Labbe,http://games.crossfit.com/athlete/541933,1,72.0,95,618,4,224.0,114 (264),86 (341),108 (114),151 (223),159 (10:53),16,,Wild Rack CrossFit,,,,,,,,,,,,,95 (618),114,264,86,341,108,114,151,223,159,653
395,95,42.0,Christopher Christensen,http://games.crossfit.com/athlete/17586,1,69.0,96,619,4,178.0,194 (247),103 (340),136 (111),128 (230),58 (09:59),16,Reebok CrossFit FirePower,Reebok CrossFit FirePower,203.0,534.0,121.0,1200.0,401,63.0,3659.0,275.0,215.0,465.0,385.0,47,96 (619),194,247,103,340,136,111,128,230,58,599
396,96,22.0,Jean-Simon Roy-lemaire,http://games.crossfit.com/athlete/308712,1,69.0,97,620,4,205.0,150 (258),74 (342),171 (107),33 (255),192 (11:08),16,Tonic Crossfit,Tonic CrossFit,,,,,,,,,,,,,97 (620),150,258,74,342,171,107,33,255,192,668
397,97,23.0,Marc-Antoine Allard,http://games.crossfit.com/athlete/240696,1,69.0,98,630,4,180.0,62 (274),134 (339),206 (105),91 (240),137 (10:43),16,CrossFit Quebec City 2,CrossFit Quebec City,,,122.0,,,,1200.0,275.0,215.0,435.0,365.0,50,98 (630),62,274,134,339,206,105,91,240,137,643
398,98,22.0,Jonathan Thiboutot,http://games.crossfit.com/athlete/108015,1,72.44,99,635,4,203.0,98 (267),113 (340),271 (103),53 (249),100 (10:24),16,CrossFit Lévis,CrossFit Levis,150.0,,,,,,1050.0,,,,,64,99 (635),98,267,113,340,271,103,53,249,100,624
399,99,20.0,Nikolas Bibic,http://games.crossfit.com/athlete/229385,1,67.32,100,644,4,178.0,194 (247),153 (339),112 (113),124 (231),61 (10:00),16,Hustle Tonic,Tonic CrossFit,168.0,498.0,96.0,,,,1315.0,310.0,245.0,425.0,385.0,,100 (644),194,247,153,339,112,113,124,231,61,600
400,0,25.0,Brent Fikowski,http://games.crossfit.com/athlete/107101,1,73.0,1,8,5,212.0,1 (329),3 (426),1 (132),1 (295),2 (08:58),16,Kelowna Wildfire,Kelowna CrossFit,,,,,0,59.0,,0.0,290.0,0.0,405.0,0,1 (8),1,329,3,426,1,132,1,295,2,538
401,1,26.0,Jonathan Gibson,http://games.crossfit.com/athlete/105058,1,74.0,2,10,5,225.0,2 (312),2 (427),2 (131),2 (282),2 (08:58),16,,CrossFit Dark Star,137.0,,104.0,,,,,330.0,260.0,565.0,440.0,,2 (10),2,312,2,427,2,131,2,282,2,538
402,2,24.0,Adam Davidson,http://games.crossfit.com/athlete/70335,1,70.0,3,13,5,195.0,2 (312),1 (429),4 (129),5 (268),1 (08:35),16,CrossFit Vic City,CrossFit Vic City,120.0,,,,,3033.0,1064.0,370.0,285.0,605.0,505.0,,3 (13),2,312,1,429,4,129,5,268,1,515
403,3,26.0,Lucas Parker,http://games.crossfit.com/athlete/38209,1,68.0,4,24,5,187.0,10 (288),4 (426),3 (130),3 (277),4 (09:11),16,CrossFit Vic City,CrossFit Vic City,,,,,0,,,345.0,291.0,0.0,490.0,0,4 (24),10,288,4,426,3,130,3,277,4,551
404,4,26.0,Kurt Baker,http://games.crossfit.com/athlete/96150,1,75.0,5,45,5,215.0,8 (290),8 (345),5 (127),16 (246),8 (09:38),16,The CENTAURS,CrossFit Fraser Valley,129.0,,95.0,,450,62.0,1153.0,315.0,280.0,528.0,423.0,60,5 (45),8,290,8,345,5,127,16,246,8,578
405,5,22.0,Josh kapacila,http://games.crossfit.com/athlete/6174,1,67.0,6,53,5,174.0,5 (300),7 (345),18 (116),9 (253),14 (09:53),16,,CrossFit Prince Albert,136.0,,,,,,,300.0,250.0,,,60,6 (53),5,300,7,345,18,116,9,253,14,593
406,6,39.0,Robbie Perovich,http://games.crossfit.com/athlete/252855,1,75.0,7,66,5,216.0,7 (294),19 (341),6 (127),7 (259),27 (10:17),16,The CENTAURS,CrossFit Fraser Valley,,,,,,,,,,0.0,0.0,,7 (66),7,294,19,341,6,127,7,259,27,617
407,7,25.0,Aaron Parker,http://games.crossfit.com/athlete/22394,1,200.79,8,73,5,180.0,11 (286),25 (341),8 (124),19 (244),10 (09:42),16,Reebok CrossFit 306,CrossFit Reebok 306,150.0,457.0,107.0,975.0,466,,1016.0,285.0,225.0,500.0,390.0,40,8 (73),11,286,25,341,8,124,19,244,10,582
408,8,23.0,Connor Vale,http://games.crossfit.com/athlete/12412,1,71.0,9,81,5,197.0,6 (297),5 (425),21 (116),29 (238),20 (10:00),16,,CrossFit Kitsilano,,,,,0,,,340.0,285.0,475.0,455.0,0,9 (81),6,297,5,425,21,116,29,238,20,600
409,9,30.0,Jeffrey Hajner,http://games.crossfit.com/athlete/111607,1,69.0,9,81,5,195.0,9 (289),24 (341),22 (115),21 (243),5 (09:24),16,Iron Regime CrossFit,Iron Regime CrossFit,,,,,,,,315.0,265.0,505.0,475.0,58,9 (81),9,289,24,341,22,115,21,243,5,564
410,10,29.0,Zack McMillan,http://games.crossfit.com/athlete/111643,1,70.0,11,85,5,190.0,12 (284),10 (344),15 (117),26 (241),22 (10:04),16,CrossFit Rocked,CrossFit Rocked,144.0,453.0,106.0,,420,,,319.0,258.0,445.0,400.0,50,11 (85),12,284,10,344,15,117,26,241,22,604
411,11,35.0,Nathan Beveridge,http://games.crossfit.com/athlete/7190,1,74.0,12,89,5,201.0,18 (271),6 (360),19 (116),17 (245),29 (10:19),16,The CENTAURS,CrossFit Fraser Valley,145.0,421.0,129.0,,421,56.0,,330.0,266.0,540.0,450.0,60,12 (89),18,271,6,360,19,116,17,245,29,619
412,12,28.0,Tyson Takasaki,http://games.crossfit.com/athlete/53824,1,73.0,13,92,5,205.0,4 (301),12 (343),36 (114),6 (262),34 (10:25),16,Team Taranis,CrossFit Taranis,130.0,446.0,,936.0,484,,,345.0,300.0,0.0,0.0,0,13 (92),4,301,12,343,36,114,6,262,34,625
413,13,29.0,Alex Cox,http://games.crossfit.com/athlete/233967,1,68.0,14,107,5,180.0,13 (283),17 (342),34 (114),25 (242),18 (09:58),16,CrossFit 604,CrossFit 604,136.0,540.0,122.0,,,,,275.0,215.0,410.0,350.0,60,14 (107),13,283,17,342,34,114,25,242,18,598
414,14,28.0,Jeremy Meredith,http://games.crossfit.com/athlete/5296,1,72.0,15,112,5,210.0,49 (260),37 (340),9 (124),4 (270),13 (09:52),16,CrossFit Vernon,CrossFit Vernon,121.0,424.0,105.0,1045.0,440,59.0,,332.9,275.58,565.0,530.0,60,15 (112),49,260,37,340,9,124,4,270,13,592
415,15,33.0,Chris Vienneau,http://games.crossfit.com/athlete/27097,1,70.87,16,117,5,190.0,32 (265),29 (340),11 (121),8 (254),37 (10:28),16,Reebok CrossFit Ramsay,Reebok CrossFit Ramsay,,,,,0,,,325.0,260.0,485.0,405.0,0,16 (117),32,265,29,340,11,121,8,254,37,628
416,16,25.0,Olek Kubicki,http://games.crossfit.com/athlete/11213,1,70.87,17,149,5,198.0,39 (263),11 (344),39 (114),22 (243),38 (10:31),16,The CENTAURS,CrossFit Fraser Valley,150.0,,110.0,,,61.0,,320.0,260.0,475.0,420.0,,17 (149),39,263,11,344,39,114,22,243,38,631
417,17,22.0,Terrence Limbert,http://games.crossfit.com/athlete/106493,1,69.0,18,158,5,200.0,49 (260),9 (345),74 (107),15 (247),11 (09:50),16,,CrossFit North Okanagan,141.0,451.0,90.0,999.0,0,59.0,,345.0,285.0,505.0,435.0,0,18 (158),49,260,9,345,74,107,15,247,11,590
418,18,30.0,Marlon Azurdia,http://games.crossfit.com/athlete/286311,1,69.29,19,165,5,194.0,49 (260),70 (264),10 (122),27 (240),9 (09:40),16,,,143.0,,92.0,,,61.0,,330.0,265.0,545.0,445.0,57,19 (165),49,260,70,264,10,122,27,240,9,580
419,19,29.0,Reilly McMorris,http://games.crossfit.com/athlete/39160,1,71.0,20,185,5,190.0,15 (279),45 (339),19 (116),62 (217),44 (10:40),16,The CENTAURS,CrossFit Fraser Valley,,,,,,,,,,,,,20 (185),15,279,45,339,19,116,62,217,44,640
